Grant Status ,Phase Type,Phase Status,Grant ,Long Title,Funder ,Role,Investigator,Location,Faculty,Research Start,Research End,Outline Date,Application Date,Award Date,Leeds fEC (£),Leeds Price (£),Funded Leeds Expenditure (£),Funded Leeds Balance (£)
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Appelt, Ane, Dr",Clinical Cancer Research,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,0.00,0.00,0.00,0.00
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Beeken, Rebecca, Prof",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,"697,386.85","410,686.29","376,854.29","33,832.00"
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Boele, Florien, Dr",Clinical Cancer Research,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,0.00,0.00,0.00,0.00
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Brown, Julia, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,0.00,0.00,6.96,-6.96
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"House, Allan, Prof",Psychological & Social Medicine,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,,,,
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Meads, David, Prof",Division of Health Economics,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,,,,
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Melcher, Alan, Prof",Oncology & Cancer Research - Labs,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,"4,699.75","4,699.75",,"4,699.75"
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Morris, Eva, Prof",Clinical Cancer Research,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,"1,334,492.31","814,942.76","755,463.82","59,478.93"
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Murray, Louise, Dr",Clinical Cancer Research,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,0.00,0.00,0.00,0.00
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,Not Known,Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,"697,386.85","410,686.29","376,854.29","33,832.00"
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Quirke, Philip, Prof",Pathology & Tumour Biology,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,,,,
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Samson, Adel, Prof",Infection and Immunity,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,"677,544.11","334,048.19","334,762.99",-714.80
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Seligmann, Jennifer, Prof",Clinical Cancer Research,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,0.00,0.00,0.00,0.00
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Smith, Samuel, Prof",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,"697,386.85","410,686.29","376,854.29","33,832.00"
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Velikova, Galina, Prof",Clinical Cancer Research,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,"1,334,492.31","814,942.76","755,463.82","59,478.93"
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Ziegler, Lucy, Prof",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,"697,386.85","410,686.29","376,854.29","33,832.00"
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,PI,"Quirke, Philip, Prof",Division of Pathology and Data Analytics,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,"636,549.59","290,858.65","108,434.53","182,424.12"
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Absolom, Kate, Dr",Division of Oncology,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,"94,276.30","2,720.00",0.00,"2,720.00"
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Alderson, Sarah, Dr",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,"195,013.93","48,571.53","11,253.68","37,317.85"
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Downing, Amy, Dr",Division of Pathology and Data Analytics,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,"625,574.60","285,843.84","106,564.97","179,278.87"
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Finan, Paul, Prof",Trans Anaesthetics & Surgical Sciences,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,0.00,0.00,0.00,0.00
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Howell, Simon, Dr",Division of Gastroenterology and Surgery,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,"145,126.93",0.00,0.00,0.00
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Morris, Eva, Prof",Epidemiology & Biostatistics,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,"2,002,455.48","991,838.69","734,784.76","257,053.93"
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Quirke, Philip, Prof",Pathology & Tumour Biology,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,"1,778,389.24","1,438,479.60","1,192,949.51","245,530.09"
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Richman, Susan, Dr",Division of Pathology and Data Analytics,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,"625,574.60","285,843.84","106,564.97","179,278.87"
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Swinson, Daniel, Dr",Clinical Cancer Research,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,"122,079.01",0.00,"2,720.00","-2,720.00"
Award,Live Award,Successful,106856,DOES INTENSIVE MULTIDISCIPLINARY TEAM INTERVENTION IMPROVE BOWEL CANCER OUTCOMES IN YORKSHIRE,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"West, Nicholas, Dr",Division of Pathology and Data Analytics,Faculty of Medicine & Health,01/04/2016,31/12/2026,,15/12/2015,08/04/2016,"625,574.60","285,843.84","106,564.97","179,278.87"
Award,Live Award,Successful,108324,FLAIR,AbbVie Ltd,PI,"Hillmen, Peter, Prof",Experimental Haematology,Faculty of Medicine & Health,01/03/2016,31/05/2026,,08/12/2016,07/04/2017,"316,382.84","316,382.84","247,130.82","69,252.02"
Award,Live Award,Successful,108324,FLAIR,AbbVie Ltd,COI,"Hockaday, Anna, Mrs",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/03/2016,31/05/2026,,08/12/2016,07/04/2017,0.00,0.00,0.00,0.00
Award,Live Award,Successful,108324,FLAIR,AbbVie Ltd,COI,"Howard, Dena, Mrs",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/03/2016,31/05/2026,,08/12/2016,07/04/2017,"3,017,404.16","3,017,404.16","2,347,206.39","670,197.77"
Award,Live Award,Successful,108324,FLAIR,AbbVie Ltd,COI,"Meads, David, Prof",Division of Health Economics,Faculty of Medicine & Health,01/03/2016,31/05/2026,,08/12/2016,07/04/2017,"218,841.00","218,841.00","188,438.43","30,402.57"
Award,Live Award,Successful,108524,Mye XIV,Cancer Research UK Supplier No: 138573,PI,"Cook, Gordon, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/06/2017,31/08/2026,,27/01/2016,31/10/2017,"1,713,368.27","1,359,357.23","1,180,980.21","178,377.02"
Award,Live Award,Successful,108524,Mye XIV,Cancer Research UK Supplier No: 138573,COI,"Doody, Gina, Dr",Experimental Haematology,Faculty of Medicine & Health,01/06/2017,31/08/2026,,27/01/2016,31/10/2017,"10,836.90",0.00,0.00,0.00
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,PI,"Clegg, Andrew, Prof",AU Elderly Care,Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"82,409.13","59,866.45","45,843.54","14,022.91"
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,COI,"Cundill, Bonita, Mrs",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"453,486.63","331,215.44","313,699.96","17,515.49"
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,COI,"Farrin, Amanda, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"239,862.47","175,189.63","165,925.17","9,264.46"
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,COI,"Foy, Robbie, Prof",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"47,072.41","33,546.60","33,546.60",0.00
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,COI,"Hartley, Suzanne, Miss",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"678,355.27","495,453.95","469,253.13","26,200.82"
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,COI,"Hawkins, Rebecca, Dr",AU Elderly Care,Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"41,205.47","29,933.89","22,922.27","7,011.61"
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,COI,"Hulme, Claire, Prof",Division of Health Economics,Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"312,902.22","163,418.85","138,388.52","25,030.33"
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,COI,"Lawton, Rebecca, Prof",School of Psychology,Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"37,794.17","24,268.36","24,268.36",0.00
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,COI,"Teale, Elizabeth, Dr",AU Elderly Care,Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"41,205.47","29,933.89","22,922.27","7,011.61"
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,COI,"West, Robert, Prof",Division of Health Services Research,Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"37,872.49","24,346.68","24,346.68",0.00
Award,Live Award,Successful,109098,Improving quality of life for older people with frailty through personalised care planning,NIHR National Inst Health Research,COI,"Young, John, Prof",AU Elderly Care,Faculty of Medicine & Health,01/10/2017,31/08/2025,06/04/2016,13/10/2016,30/01/2018,"82,410.34","59,867.33","45,844.21","14,023.12"
Award,Live Award,Successful,109609,Melanoma,NIHR National Inst Health Research,PI,"Collinson, Fiona, Dr",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/02/2017,31/05/2027,27/05/2016,21/06/2016,30/03/2017,"585,913.01","482,430.86","286,837.88","195,592.98"
Award,Live Award,Successful,109609,Melanoma,NIHR National Inst Health Research,COI,"Bestall, Janine, Dr",Division of Health Services Research,Faculty of Medicine & Health,01/02/2017,31/05/2027,27/05/2016,21/06/2016,30/03/2017,"50,834.09","40,667.29","35,054.15","5,613.14"
Award,Live Award,Successful,109609,Melanoma,NIHR National Inst Health Research,COI,"Hockaday, Anna, Mrs",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/02/2017,31/05/2027,27/05/2016,21/06/2016,30/03/2017,"585,913.01","482,430.86","286,837.88","195,592.98"
Award,Live Award,Successful,109609,Melanoma,NIHR National Inst Health Research,COI,"Hook, Jane, Dr",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/02/2017,31/05/2027,27/05/2016,21/06/2016,30/03/2017,"585,913.01","482,430.86","286,837.88","195,592.98"
Award,Live Award,Successful,109609,Melanoma,NIHR National Inst Health Research,COI,"Hulme, Claire, Prof",Division of Health Economics,Faculty of Medicine & Health,01/02/2017,31/05/2027,27/05/2016,21/06/2016,30/03/2017,"115,467.44","92,373.94","38,487.31","53,886.63"
Award,Live Award,Successful,109609,Melanoma,NIHR National Inst Health Research,COI,"Marshall, Helen, Mrs",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/02/2017,31/05/2027,27/05/2016,21/06/2016,30/03/2017,"585,913.01","482,430.86","286,837.88","195,592.98"
Award,Live Award,Successful,109609,Melanoma,NIHR National Inst Health Research,COI,"Meads, David, Prof",Division of Health Economics,Faculty of Medicine & Health,01/02/2017,31/05/2027,27/05/2016,21/06/2016,30/03/2017,"115,467.44","92,373.94","38,487.31","53,886.63"
Award,Live Award,Successful,109609,Melanoma,NIHR National Inst Health Research,COI,"Velikova, Galina, Prof",Clinical Cancer Research,Faculty of Medicine & Health,01/02/2017,31/05/2027,27/05/2016,21/06/2016,30/03/2017,"75,472.08","60,377.69","52,593.11","7,784.58"
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,PI,"House, Allan, Prof",Psychological & Social Medicine,Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,"208,319.21","124,701.23","100,928.81","23,772.43"
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,COI,"Brennan, Catherine, Dr",Psychological & Social Medicine,Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,"1,279,127.60","765,694.10","619,725.96","145,968.14"
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,COI,"Bryant, Louise, Prof",Psychological & Social Medicine,Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,"299,683.50","179,392.49","145,193.99","34,198.50"
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,COI,"Farrin, Amanda, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,"571,392.60","392,250.08","296,854.03","95,396.05"
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,COI,"Graham, Christopher, Dr",Psychological & Social Medicine,Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,0.00,0.00,0.00,0.00
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,COI,"Guthrie, Elspeth, Prof",Psychological & Social Medicine,Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,"1,023,303.92","612,556.38","495,781.66","116,774.72"
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,COI,"Hartley, Suzanne, Miss",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,"340,114.56","233,482.13","176,698.79","56,783.35"
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,COI,Not Known,Academic Unit of Public Health,Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,,,0.00,0.00
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,COI,Not Known,Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,,,0.00,0.00
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,COI,"Tubeuf, Sandy, Dr",Division of Health Economics,Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,"367,939.53","176,248.73","32,494.60","143,754.13"
Award,Live Award,Successful,111115,Function REplacement in repeated Self-Harm: Standardising Therapeutic Assessment and the Related Therapy,NIHR National Inst Health Research,COI,"Wright-Hughes, Alexandra, Miss",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/09/2018,31/05/2026,30/11/2016,28/04/2017,31/05/2018,"413,580.16","283,914.86","214,866.16","69,048.69"
Award,Live Award,Successful,112907,The Yorkshire Lung Screening Trial,Yorkshire Cancer Research Account Ref: 2UOLEEDS,PI,"Callister, Matthew, Prof",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/07/2017,30/06/2026,,01/06/2017,01/06/2017,-24.44,-22.22,-20.25,-1.97
Award,Live Award,Successful,112907,The Yorkshire Lung Screening Trial,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Messenger, Michael, Dr",School of Medicine - Dean's Office,Faculty of Medicine & Health,01/07/2017,30/06/2026,,01/06/2017,01/06/2017,"29,355.48",0.00,0.00,0.00
Award,Live Award,Successful,112907,The Yorkshire Lung Screening Trial,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Neal, Richard, Prof",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/07/2017,30/06/2026,,01/06/2017,01/06/2017,"13,330,763.32","12,120,146.22","11,046,116.70","1,074,029.52"
Award,Live Award,Successful,112907,The Yorkshire Lung Screening Trial,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Shinkins, Bethany, Dr",Division of Health Economics,Faculty of Medicine & Health,01/07/2017,30/06/2026,,01/06/2017,01/06/2017,"67,133.31",0.00,0.00,0.00
Award,Live Award,Successful,112907,The Yorkshire Lung Screening Trial,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Simmonds, Irene, Ms",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/07/2017,30/06/2026,,01/06/2017,01/06/2017,0.00,0.00,0.00,0.00
Award,Live Award,Successful,113210,Glycaemic Control,Abbott Diabetes Care,PI,"Ajjan, Ramzi, Prof",Div Cardiovascular & Diabetes Research,Faculty of Medicine & Health,01/05/2017,31/12/2026,,20/07/2017,20/07/2017,"27,067.79","27,067.79","3,040.00","24,027.79"
Award,Live Award,Successful,113210,Glycaemic Control,Abbott Diabetes Care,COI,"Fernandez, Catherine, Dr",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/05/2017,31/12/2026,,20/07/2017,20/07/2017,"22,980.40","22,980.40","21,991.77",988.63
Award,Live Award,Successful,113210,Glycaemic Control,Abbott Diabetes Care,COI,"Nixon, Jane, Prof",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/05/2017,31/12/2026,,20/07/2017,20/07/2017,"22,980.40","22,980.40","21,991.77",988.63
